aX,aY,aZ,gX,gY,gZ
0.341,0.252,-0.292,1.038,-0.061,-45.349
0.324,0.164,-0.285,-0.732,-29.541,-38.147
0.314,0.109,-0.202,-9.460,-42.725,-27.771
0.297,0.162,-0.186,-24.719,-59.021,-11.841
0.323,0.315,-0.248,-25.574,-69.580,-8.179
0.351,0.393,-0.214,-25.330,-110.474,-13.306
0.278,0.267,0.023,-20.508,-129.150,-18.555
0.228,0.135,0.081,-20.630,-138.733,-9.766
0.146,0.014,0.134,-31.189,-136.841,3.357
0.130,0.078,0.150,-57.556,-135.376,33.630
0.196,0.341,0.208,-57.312,-145.630,41.626
0.205,0.399,0.286,-41.016,-186.951,33.020
0.190,0.332,0.457,-36.011,-201.538,26.611
0.150,0.213,0.494,-32.471,-209.778,22.949
0.073,0.074,0.631,-43.640,-214.172,26.855
0.080,0.165,0.871,-80.383,-233.276,42.480
0.208,0.450,1.351,-82.886,-233.154,46.692
0.299,0.512,1.382,-53.040,-208.618,38.696
0.331,0.484,1.436,-45.776,-200.745,28.137
0.262,0.354,1.557,-41.443,-189.148,12.024
0.229,0.136,1.804,-42.114,-179.687,19.287
0.341,0.302,1.913,-48.218,-162.659,48.645
0.548,0.686,2.102,-40.833,-153.564,51.331
0.582,0.718,2.064,-13.733,-119.446,24.780
0.510,0.498,1.890,-7.935,-101.807,9.094
0.461,0.391,1.830,-4.395,-77.759,3.906
0.431,0.414,1.672,1.038,-71.289,7.507
0.423,0.435,1.558,15.808,-68.542,8.240
0.421,0.434,1.490,12.695,-66.101,7.568
0.435,0.453,1.544,-1.831,-46.997,7.202
0.495,0.565,1.671,-2.625,-35.095,6.226
0.507,0.563,1.708,9.155,-17.090,-1.038
0.506,0.513,1.795,8.545,-9.521,-1.343
0.532,0.565,1.847,0.549,11.902,1.526
0.612,0.750,1.943,2.258,24.353,-1.587
0.640,0.802,1.969,15.076,47.485,-15.625
0.611,0.804,1.948,18.372,61.279,-22.400
0.584,0.799,1.866,17.700,96.924,-30.334
0.577,0.828,1.693,14.099,110.901,-34.241
0.559,0.828,1.647,14.160,126.465,-49.744
0.440,0.726,1.441,18.127,135.071,-58.350
0.393,0.665,1.318,18.005,147.156,-71.045
0.352,0.615,1.121,20.264,145.508,-77.576
0.339,0.550,1.121,19.836,130.615,-90.332
0.169,0.369,1.117,16.907,133.362,-90.515
0.102,0.281,0.948,17.700,155.334,-80.688
0.107,0.256,0.722,7.141,156.189,-73.669
0.124,0.300,0.751,-9.277,145.935,-70.374
0.015,0.222,0.623,-1.404,146.606,-73.425
-0.031,0.137,0.371,3.418,152.771,-66.711
0.071,0.222,0.025,-14.526,144.226,-60.364
0.115,0.260,0.110,-36.621,102.783,-67.078
-0.004,0.058,0.329,-23.071,85.876,-69.885
-0.062,-0.033,0.231,3.357,81.665,-51.270
-0.019,-0.027,-0.077,-1.526,79.773,-36.255
0.039,0.040,-0.077,-25.208,52.002,-15.808
0.106,0.152,-0.050,-26.733,39.551,-12.512
0.122,0.165,-0.107,-24.292,32.959,-12.329
0.164,0.174,-0.142,-20.203,15.076,-14.465
0.167,0.116,-0.101,-14.587,-0.061,-16.418
0.154,0.021,-0.057,-14.221,-22.949,-11.963
0.214,0.005,0.066,-25.024,-26.611,-2.319
0.271,0.045,0.105,-28.259,-26.978,12.268
0.359,0.062,0.061,-26.062,-31.311,16.052
0.380,0.095,0.091,-33.020,-55.786,23.010
0.352,0.174,0.189,-30.945,-67.261,22.461
0.306,0.166,0.202,-14.893,-84.534,16.418
0.153,0.079,0.209,-8.301,-93.140,15.137
0.070,0.011,0.193,-0.427,-106.506,19.287
-0.134,-0.154,0.181,2.014,-112.366,25.879
-0.213,-0.182,0.109,7.629,-122.620,47.119
-0.284,-0.132,-0.159,5.066,-131.531,56.274
-0.275,-0.097,-0.240,-20.630,-164.856,64.636
-0.358,-0.050,-0.063,-41.748,-186.035,67.688
-0.387,0.053,0.112,-64.758,-232.361,82.886
-0.372,0.370,0.792,-65.979,-264.648,88.684
-0.333,0.523,1.233,-58.533,-289.734,90.210
-0.276,0.518,1.716,-15.198,-277.039,84.595
-0.197,0.524,1.839,-2.930,-252.197,88.806
-0.057,0.699,2.052,-14.832,-218.018,103.943
0.281,1.197,2.504,-6.042,-199.768,96.436
0.359,1.196,2.486,31.311,-137.695,50.171
0.387,0.958,2.503,31.250,-111.084,33.325
0.380,0.870,2.551,62.866,-62.622,14.893
0.349,0.566,2.251,95.398,-44.922,7.080
0.313,0.415,2.090,122.986,-37.964,-1.038
0.443,0.994,2.027,-40.710,-72.998,32.471
0.465,1.007,2.244,-66.406,-12.756,9.399
0.480,1.038,2.763,-67.749,8.423,2.808
0.474,1.092,3.023,-57.373,56.580,-14.221
0.340,1.003,3.119,-48.889,89.478,-28.015
0.193,0.783,2.888,-40.466,144.043,-49.438
-0.054,0.363,2.356,-50.598,158.813,-49.622
-0.124,0.287,2.145,-84.534,182.434,-39.490
-0.236,0.232,1.729,-96.191,194.702,-36.194
-0.277,0.204,1.548,-106.323,210.815,-34.851
-0.287,0.273,1.286,-112.610,216.431,-35.645
-0.282,0.328,1.188,-122.253,221.191,-46.021
-0.294,0.215,0.975,-119.568,218.140,-54.016
-0.310,0.107,0.859,-115.295,205.139,-65.186
-0.321,-0.025,0.664,-116.699,198.059,-66.467
-0.297,-0.074,0.622,-114.868,187.439,-64.209
-0.275,-0.134,0.497,-110.779,184.937,-62.622
-0.258,-0.108,0.377,-108.765,180.969,-60.242
-0.205,-0.002,0.251,-113.586,160.828,-54.016
-0.185,0.008,0.254,-111.328,148.437,-53.467
-0.134,0.039,0.247,-94.421,131.409,-57.861
-0.125,0.032,0.244,-85.205,126.343,-61.462
-0.115,-0.005,0.265,-75.012,120.422,-59.753
-0.052,-0.001,0.295,-73.608,120.483,-51.147
-0.006,0.086,0.245,-74.402,126.465,-34.668
0.029,0.207,0.015,-73.730,125.977,-31.555
-0.020,0.246,-0.422,-62.927,117.065,-28.320
-0.022,0.276,-0.596,-59.998,104.492,-24.719
-0.023,0.261,-0.738,-46.753,53.650,-21.729
-0.042,0.178,-0.808,-31.433,24.536,-25.330
-0.070,-0.049,-0.828,-5.615,-35.645,-24.597
-0.084,-0.141,-0.816,4.395,-61.646,-18.433
-0.130,-0.129,-0.754,14.954,-106.934,3.418
-0.140,-0.060,-0.629,11.414,-129.822,15.747
-0.118,0.057,-0.252,2.808,-168.884,33.447
-0.110,0.089,-0.090,4.883,-182.678,38.757
-0.085,0.140,0.097,20.142,-203.613,46.082
-0.084,0.163,0.163,27.771,-213.989,49.011
-0.077,0.219,0.265,40.222,-236.450,54.199
-0.036,0.376,0.581,47.913,-245.666,52.185
-0.021,0.387,0.722,67.444,-253.906,34.912
-0.047,0.209,0.928,75.317,-256.592,27.527
-0.033,0.194,1.098,65.674,-263.306,35.339
0.123,0.527,1.618,57.556,-260.620,39.368
0.182,0.651,1.769,58.899,-229.187,19.043
0.196,0.547,1.805,63.843,-212.280,5.676
0.214,0.480,1.857,65.613,-192.139,1.587
0.299,0.581,1.980,59.753,-179.565,4.944
0.343,0.675,1.991,50.049,-163.269,7.385
0.431,0.880,2.079,21.912,-126.892,3.113
0.465,0.890,2.191,14.587,-110.596,-4.944
0.485,0.843,2.245,24.719,-77.087,-18.860
0.524,0.836,2.184,28.992,-62.866,-19.653
0.539,0.904,2.160,24.048,-39.246,-19.409
0.582,1.054,2.286,16.235,-26.184,-22.705
0.591,1.065,2.349,6.104,12.390,-36.438
0.538,0.970,2.227,7.202,33.264,-42.297
0.511,0.957,2.122,5.066,65.186,-47.852
0.464,1.010,1.975,-3.784,78.918,-51.697
0.428,0.980,1.954,-15.808,103.149,-64.697
0.337,0.884,1.914,-11.963,113.037,-71.716
0.295,0.848,1.865,-5.127,123.413,-79.163
0.193,0.658,1.557,3.479,148.254,-93.384
0.140,0.561,1.369,-0.183,158.447,-95.947
0.093,0.500,1.188,-20.691,170.349,-94.543
0.042,0.371,0.946,-32.532,170.227,-93.872
0.042,0.302,0.935,-47.424,161.926,-92.957
0.046,0.209,0.861,-46.875,160.278,-93.689
0.035,0.156,0.686,-39.917,158.813,-92.407
0.014,0.066,0.283,-43.335,153.625,-87.341
0.021,0.063,0.160,-59.021,133.179,-76.477
0.036,0.023,0.166,-59.570,118.835,-75.500
0.036,-0.036,0.221,-42.786,94.055,-74.219
0.094,-0.126,0.287,-35.095,86.670,-69.885
0.136,-0.112,0.241,-37.964,83.130,-51.697
0.246,0.028,0.133,-45.593,79.590,-42.664
0.284,0.055,0.114,-47.729,66.406,-31.860
0.330,0.102,-0.004,-43.579,58.594,-26.367
0.349,0.160,-0.022,-40.222,46.875,-21.484
0.347,0.188,-0.041,-26.611,18.311,-21.179
0.322,0.147,-0.076,-17.883,5.188,-24.292
0.290,0.098,-0.100,-12.634,-21.179,-26.062
0.213,0.001,-0.108,-14.587,-31.738,-23.071
0.165,-0.061,-0.149,-15.564,-45.715,-11.780
0.065,-0.210,-0.292,-13.977,-54.504,-2.747
-0.013,-0.165,-0.496,-13.367,-76.050,18.555
-0.054,-0.117,-0.526,-19.226,-88.867,27.344
-0.175,-0.117,-0.513,-25.146,-119.080,41.199
-0.249,-0.069,-0.509,-22.888,-136.414,48.584
-0.429,0.009,-0.376,-18.677,-177.917,58.228
-0.542,-0.023,-0.265,-14.282,-199.036,61.218
-0.656,-0.094,-0.120,11.108,-245.239,74.524
-0.807,-0.129,0.266,27.954,-271.301,86.670
-0.827,-0.024,0.561,38.025,-313.538,114.136
-0.667,0.504,1.275,27.649,-317.688,122.681
-0.522,0.824,1.675,8.423,-297.852,104.614
-0.220,1.120,2.308,11.597,-277.527,78.674
-0.139,0.992,2.449,18.921,-223.694,32.532
-0.015,0.812,2.601,10.498,-197.205,27.771
0.069,0.850,2.693,8.301,-150.574,26.855
0.172,0.793,2.654,23.437,-128.052,19.653
0.182,0.720,2.499,38.818,-106.384,11.475
0.169,0.610,2.102,48.706,-67.444,4.395
0.185,0.626,1.934,45.166,-52.307,5.249
0.202,0.643,1.632,38.940,-29.175,4.517
0.200,0.644,1.547,35.461,-21.729,2.747
0.175,0.649,1.412,33.020,-7.751,-3.601
0.148,0.621,1.286,35.400,-0.610,-8.057
0.119,0.578,1.162,30.029,3.723,-14.038
0.096,0.512,1.135,26.245,4.822,-17.517
0.056,0.423,1.061,21.729,11.963,-21.729
-0.013,0.309,0.911,18.677,11.841,-20.752
-0.044,0.266,0.900,18.799,6.226,-18.921
-0.121,0.154,0.902,19.958,5.005,-16.418
