aX,aY,aZ,gX,gY,gZ
0.178,0.538,1.169,56.335,-71.777,-51.575
0.217,0.672,1.234,45.349,-69.702,-45.349
0.290,0.755,1.272,40.161,-65.247,-50.171
0.368,0.722,1.295,38.635,-59.448,-58.350
0.362,0.632,1.231,27.832,-46.326,-70.068
0.308,0.552,1.180,17.700,-46.082,-70.190
0.293,0.574,1.219,8.667,-50.781,-69.275
0.305,0.600,1.246,13.428,-52.002,-71.594
0.330,0.549,1.233,30.518,-54.810,-81.299
0.361,0.371,1.224,32.959,-53.833,-85.388
0.360,0.318,1.191,13.916,-44.006,-84.717
0.311,0.277,1.254,-0.549,-40.894,-82.520
0.285,0.249,1.290,-8.545,-37.170,-81.299
0.299,0.173,1.211,-3.845,-28.503,-80.688
0.332,0.124,1.157,0.244,-26.428,-80.017
0.347,0.063,1.163,2.075,-28.137,-76.416
0.317,-0.019,1.182,1.953,-26.123,-72.632
0.311,-0.008,1.157,-4.700,-20.020,-64.880
0.284,0.005,1.162,-9.583,-18.005,-63.293
0.277,-0.040,1.174,-11.292,-13.123,-61.401
0.272,-0.101,1.175,-9.949,-9.827,-58.044
0.274,-0.081,1.147,-7.629,-3.235,-50.049
0.286,-0.067,1.099,-7.507,-0.366,-47.180
0.297,-0.064,1.039,-8.423,7.935,-41.992
0.324,-0.071,0.946,-9.705,8.545,-39.429
0.314,-0.099,0.958,-5.920,5.737,-34.546
0.271,-0.153,0.915,-1.465,5.859,-30.396
0.289,-0.064,0.908,-3.174,4.028,-19.897
0.302,-0.014,0.927,-4.089,2.441,-15.991
0.322,0.079,0.922,-2.869,3.479,-14.954
0.318,0.103,0.924,-3.662,5.981,-12.817
0.328,0.125,0.870,-2.869,15.442,-8.240
0.312,0.117,0.852,-0.854,15.808,-10.132
0.284,0.115,0.865,3.052,7.690,-11.169
0.296,0.123,0.831,6.592,7.080,-9.460
0.306,0.119,0.813,5.920,3.784,-6.226
0.296,0.087,0.813,4.517,1.831,-5.005
0.293,0.095,0.824,2.136,0.427,-1.709
0.294,0.162,0.862,2.136,1.648,-0.305
0.301,0.186,0.862,0.427,5.127,0.671
0.301,0.193,0.890,-3.052,4.944,1.465
0.312,0.226,0.890,-5.554,1.770,3.540
0.316,0.264,0.928,-5.981,-1.343,2.930
0.302,0.250,0.954,-5.493,-2.441,1.404
0.294,0.229,0.952,-3.723,0.000,1.831
0.302,0.235,0.943,0.793,3.174,2.991
0.303,0.240,0.909,2.625,3.723,2.625
0.299,0.232,0.891,2.258,3.967,1.648
0.300,0.237,0.880,-2.686,3.845,0.854
0.307,0.248,0.872,-3.296,3.479,0.671
0.299,0.227,0.877,-0.610,2.075,1.099
0.293,0.220,0.870,1.221,0.732,2.319
0.298,0.237,0.876,0.366,-2.502,3.296
0.288,0.223,0.896,-0.061,-1.343,2.502
0.285,0.220,0.884,-0.427,2.197,2.808
0.307,0.254,0.907,-1.831,1.404,2.869
0.301,0.248,0.922,-1.892,0.732,2.441
0.303,0.254,0.900,2.319,1.160,2.747
0.322,0.281,0.915,0.671,-1.648,2.075
0.310,0.266,0.958,-3.113,-2.808,0.244
0.294,0.239,0.933,0.366,-1.038,0.854
0.325,0.301,0.917,2.441,-3.357,1.465
0.320,0.293,0.940,-0.427,-4.517,-0.671
0.289,0.214,0.949,-0.916,-0.488,-2.747
0.286,0.206,0.932,2.075,1.221,-1.038
0.315,0.264,0.914,3.296,-1.282,2.563
0.323,0.293,0.936,-1.038,-3.296,2.197
0.291,0.240,0.979,-3.845,-0.549,-1.587
0.286,0.231,0.951,-0.732,2.563,-1.160
0.313,0.266,0.925,2.014,1.343,1.160
0.311,0.257,0.937,0.916,-1.404,0.671
0.302,0.233,0.945,-0.610,-0.916,0.732
0.301,0.243,0.946,-0.549,0.244,1.770
0.305,0.269,0.930,1.648,1.404,2.014
0.309,0.273,0.931,1.221,0.549,1.221
0.315,0.289,0.930,-3.235,0.549,0.000
0.311,0.270,0.921,-4.333,1.526,-1.404
0.299,0.242,0.936,-2.747,2.014,-2.075
0.286,0.225,0.961,0.488,2.014,-0.977
0.284,0.232,0.951,7.446,3.418,1.160
0.306,0.256,0.854,5.432,3.723,1.709
0.323,0.272,0.872,-7.324,-1.038,0.793
0.311,0.265,0.920,-6.592,-0.244,-0.916
0.294,0.233,0.906,-0.427,1.770,-1.404
0.655,-0.453,1.604,-51.025,94.055,-40.710
0.614,-0.449,1.562,-36.560,124.756,-26.123
0.495,-0.450,1.320,-22.766,134.827,-18.127
0.418,-0.447,1.118,7.324,143.555,0.732
0.295,-0.445,0.753,21.423,136.902,10.437
0.225,-0.464,0.690,49.744,106.323,30.701
0.056,-0.492,0.540,63.660,98.633,43.518
-0.012,-0.469,0.363,80.994,95.947,70.923
-0.073,-0.331,-0.072,79.529,93.933,83.618
-0.104,-0.276,-0.219,70.801,85.876,102.966
-0.228,-0.287,-0.383,69.641,82.153,112.732
-0.252,-0.275,-0.473,73.730,57.800,142.517
-0.280,-0.092,-0.622,69.214,39.551,156.860
-0.267,0.022,-0.627,62.988,-4.395,179.993
-0.132,0.461,-0.459,63.660,-22.888,190.002
-0.063,0.687,-0.436,73.120,-36.377,185.242
0.026,0.923,-0.311,67.444,-42.969,171.204
0.050,0.948,-0.112,57.007,-64.514,141.113
0.048,0.995,0.065,67.627,-71.289,130.493
0.066,0.994,0.132,78.613,-81.604,122.559
0.095,0.985,0.299,82.397,-102.539,115.051
0.184,1.129,0.435,79.163,-98.328,114.868
0.234,1.234,0.466,74.036,-94.238,105.286
0.307,1.241,0.581,79.773,-101.807,94.299
0.329,1.200,0.706,88.806,-118.225,73.608
0.329,1.152,0.936,89.355,-117.981,63.660
0.281,1.124,1.018,83.984,-108.887,42.053
0.253,0.996,1.115,86.426,-107.971,31.433
0.274,0.811,1.201,113.220,-112.183,9.827
0.330,0.457,1.018,119.141,-103.394,6.165
0.396,0.570,0.891,88.989,-101.135,17.700
0.375,0.915,1.053,74.219,-108.276,12.085
