aX,aY,aZ,gX,gY,gZ
0.115,-1.301,0.515,-52.734,32.654,190.613
-0.068,-0.848,0.365,-41.199,45.776,240.723
-0.358,0.119,0.228,-44.006,32.654,251.099
-0.478,0.551,0.362,-37.048,4.822,252.624
-0.635,1.617,0.530,-26.245,1.038,247.864
-0.664,2.170,0.594,-26.001,-3.296,231.567
-0.576,2.565,0.954,-42.175,-14.771,152.893
-0.505,2.408,1.020,-13.855,14.832,77.332
-0.401,2.110,0.811,7.935,27.161,54.871
-0.336,1.899,0.856,19.043,20.081,6.104
-0.157,1.142,0.890,16.663,23.010,-17.212
-0.080,0.761,0.759,13.000,28.076,-37.048
0.042,0.169,0.777,8.911,18.433,-38.269
0.109,-0.046,0.869,17.212,9.460,-25.879
0.244,-0.094,0.831,21.851,10.925,-13.794
0.295,-0.076,0.801,9.399,5.310,-1.831
0.350,-0.070,0.841,3.784,2.625,2.502
0.355,-0.023,0.846,0.183,2.502,13.428
0.345,0.124,0.853,-2.869,1.282,17.578
0.345,0.195,0.869,-8.362,-1.892,20.569
0.342,0.305,0.895,-8.301,-2.747,20.508
0.338,0.360,0.948,-8.728,-3.906,19.531
0.317,0.413,1.001,-7.629,-0.122,18.066
0.297,0.475,0.925,-5.615,6.470,15.686
0.303,0.449,0.941,-10.742,4.700,12.390
0.297,0.332,0.875,-9.460,8.240,8.362
0.289,0.375,0.802,0.610,10.437,11.108
0.305,0.313,0.877,-6.958,0.732,7.874
0.315,0.242,0.912,-7.019,3.845,12.085
0.293,0.351,0.783,4.028,7.690,18.433
0.289,0.448,0.734,2.380,-0.854,16.113
0.313,0.309,0.854,-12.207,-8.728,9.827
0.314,0.256,0.920,-12.878,-7.202,16.479
0.274,0.418,0.917,-7.263,-3.113,22.217
0.260,0.511,0.909,-17.578,-2.014,19.104
0.257,0.463,0.976,-24.353,-2.136,12.756
0.255,0.402,0.986,-12.939,6.836,11.108
0.257,0.438,0.919,-6.042,11.414,14.038
0.261,0.446,0.878,-4.944,13.306,12.390
0.257,0.456,0.851,-4.944,11.841,11.108
0.252,0.458,0.847,-11.292,9.094,5.432
0.251,0.352,0.830,-11.963,7.751,2.319
0.252,0.347,0.818,-1.099,7.385,6.470
0.258,0.388,0.776,3.113,6.592,7.263
0.260,0.352,0.783,2.075,3.662,5.676
0.248,0.316,0.827,-3.174,-1.526,6.348
0.237,0.368,0.845,-1.770,-1.892,8.972
0.233,0.402,0.852,4.761,-0.488,7.263
0.240,0.365,0.837,3.418,-0.854,5.188
0.244,0.349,0.853,-9.094,-4.333,5.066
0.241,0.364,0.883,-13.062,-4.700,5.920
0.237,0.368,0.876,-8.118,-3.235,7.080
0.227,0.435,0.915,-3.845,-4.028,8.850
0.230,0.468,0.941,-6.714,-1.587,6.897
0.248,0.437,0.894,-9.521,0.977,4.578
0.258,0.422,0.868,-3.967,2.258,3.784
0.269,0.413,0.866,-2.014,1.770,4.089
-0.156,1.095,2.082,-4.150,-129.822,46.692
-0.260,1.278,2.676,-65.552,-112.915,30.273
-0.397,1.638,3.372,-99.487,-74.585,10.925
-0.413,1.630,3.256,-106.628,28.381,-52.490
-0.417,1.426,2.988,-94.116,57.739,-78.247
-0.416,1.370,3.057,-86.548,105.164,-115.417
-0.417,1.078,2.580,-78.125,148.682,-133.057
-0.410,0.891,2.122,-69.275,209.839,-157.043
-0.349,0.551,1.282,-64.392,220.032,-165.649
-0.293,0.420,0.963,-63.904,214.294,-171.020
-0.232,0.142,0.575,-61.096,210.144,-171.387
-0.182,-0.051,0.172,11.780,223.022,-160.400
-0.111,-0.131,-0.467,37.659,205.322,-140.930
-0.067,-0.037,-0.353,20.813,128.784,-113.281
-0.012,-0.133,0.053,-12.878,107.056,-112.183
-0.099,-0.222,0.102,-35.645,100.403,-96.802
-0.111,0.056,0.167,-37.292,103.516,-96.802
-0.013,-0.112,0.081,-63.904,110.535,-135.376
0.102,-0.624,-0.148,-55.298,103.149,-120.300
0.132,-0.428,-0.057,-25.269,59.937,-25.818
0.196,0.417,0.383,-12.207,47.913,-1.648
0.215,0.518,0.362,31.189,73.059,-37.659
0.222,0.164,-0.111,36.072,80.505,-56.274
0.229,0.105,-0.224,5.005,45.715,-39.978
0.251,0.213,-0.284,-2.014,24.780,-27.405
0.233,0.266,-0.381,14.343,-5.066,-15.198
0.127,0.351,-0.714,9.094,-22.949,-10.437
0.067,0.364,-0.780,-61.035,-88.867,-3.723
-0.066,0.387,-0.555,-85.205,-121.765,-4.028
-0.106,0.362,-0.437,-58.350,-147.339,-14.099
-0.168,0.224,-0.435,-23.010,-148.376,-18.982
-0.189,0.165,-0.501,39.673,-161.865,-23.682
-0.187,0.073,-0.656,56.885,-178.162,-24.536
-0.228,0.121,-0.599,57.983,-203.125,-22.766
-0.329,0.309,0.112,13.611,-266.174,-20.447
-0.326,0.322,0.486,-4.700,-280.151,-24.170
-0.309,0.328,0.712,46.326,-264.709,-31.921
-0.244,0.368,1.122,89.478,-257.690,-37.537
-0.199,0.243,1.427,109.009,-249.145,-55.847
-0.132,-0.081,1.984,96.252,-239.807,-58.594
0.016,-0.308,2.554,71.838,-217.285,-54.565
0.068,-0.297,2.857,64.453,-175.232,-34.546
0.125,-0.007,3.120,83.496,-141.113,-27.283
0.161,0.031,3.101,105.896,-79.102,-36.377
0.210,-0.080,3.023,100.037,-56.030,-41.382
0.222,-0.119,2.987,94.299,-34.790,-42.419
0.246,-0.168,2.715,106.018,14.526,-38.574
0.258,-0.215,2.487,110.229,36.865,-37.170
0.293,-0.276,2.150,68.359,56.763,-31.860
0.290,-0.288,2.041,27.588,69.519,-20.508
0.276,-0.255,1.714,18.799,78.613,-14.954
0.281,-0.259,1.514,2.136,86.792,-8.057
0.271,-0.267,1.224,-12.146,83.496,-2.502
0.254,-0.209,1.165,-26.672,77.454,5.005
0.239,-0.114,1.136,-44.678,70.435,12.085
0.260,-0.126,1.089,-46.387,72.937,10.620
0.301,-0.163,1.032,-43.274,80.811,7.141
0.393,-0.315,0.920,-43.274,84.290,7.324
0.411,-0.385,0.890,-44.922,82.886,16.785
0.436,-0.512,0.856,-43.640,82.031,20.813
0.463,-0.677,0.777,-45.898,82.153,24.963
0.484,-1.134,0.599,-56.396,77.026,31.555
0.465,-1.439,0.543,-66.711,64.331,53.467
0.366,-1.927,0.300,-59.143,61.035,76.782
0.261,-1.890,0.189,-56.030,46.631,151.306
-0.036,-1.416,0.019,-74.951,39.551,186.829
-0.226,-0.915,-0.031,-91.736,31.616,220.520
-0.383,-0.082,-0.026,-59.937,6.592,276.978
-0.570,1.569,0.214,-54.016,-10.986,271.240
-0.623,2.078,0.530,-60.791,-36.011,209.595
-0.587,2.575,0.978,-48.706,-25.696,170.593
-0.529,2.520,1.000,-3.784,8.667,93.201
-0.423,2.222,0.967,14.954,17.822,64.697
-0.384,2.064,1.042,16.479,22.766,16.113
-0.247,1.455,1.037,10.681,32.166,-7.996
-0.152,1.071,0.830,19.043,48.279,-34.729
0.017,0.546,0.558,27.771,39.795,-36.865
0.095,0.339,0.574,36.804,11.902,-35.339
0.180,0.104,0.774,40.344,1.892,-28.625
0.198,0.061,0.908,32.043,-4.333,-17.212
0.241,-0.061,1.005,24.292,-0.671,-13.611
0.256,-0.039,0.984,18.250,3.113,-7.935
0.267,0.077,0.957,-4.028,4.700,0.793
0.274,0.064,0.979,-18.799,3.784,0.977
0.281,0.098,0.940,-14.160,13.306,11.414
0.289,0.374,0.745,-6.409,14.648,16.296
0.294,0.396,0.785,-17.395,0.061,9.521
0.308,0.354,0.903,-16.235,0.244,9.583
0.294,0.433,0.852,0.916,7.385,14.038
0.280,0.537,0.903,-6.470,3.723,8.240
0.296,0.418,0.978,-12.268,5.615,-6.409
0.300,0.348,0.840,7.812,13.245,-3.540
0.297,0.379,0.756,22.949,15.015,-1.221
0.303,0.350,0.777,9.888,-1.953,-5.432
0.335,0.221,0.921,-1.953,-5.920,-5.188
0.339,0.185,0.879,-1.465,1.404,3.784
0.309,0.271,0.776,3.845,-1.160,9.155
0.307,0.320,0.835,-0.061,-15.076,9.888
0.305,0.293,0.875,-4.272,-14.709,9.033
0.300,0.345,0.841,-3.235,-12.939,15.259
0.308,0.447,0.907,-4.944,-13.306,14.038
0.302,0.377,0.911,-9.338,-3.967,6.897
0.293,0.359,0.862,-8.911,-0.977,9.216
0.283,0.357,0.855,-9.216,-0.427,9.888
0.257,0.405,0.866,-5.859,-1.282,9.766
0.256,0.434,0.894,-5.615,-2.747,9.094
0.262,0.402,0.922,-3.418,0.000,1.831
0.271,0.323,0.862,3.174,4.883,1.648
0.272,0.310,0.801,7.446,3.723,3.113
0.253,0.369,0.860,4.333,-2.930,4.395
0.254,0.399,0.920,-4.700,-5.493,2.197
0.258,0.323,0.890,-5.554,-1.587,0.610
0.252,0.400,0.848,3.357,-0.427,7.385
0.263,0.497,0.866,-4.944,-3.967,2.869
0.260,0.362,0.930,-20.996,-7.874,-6.409
0.258,0.312,0.993,-20.142,-4.211,-2.075
0.245,0.412,0.952,-7.019,3.174,5.005
0.236,0.479,0.914,-5.188,5.920,-1.221
0.262,0.344,0.935,-10.559,2.319,-8.240
-0.303,2.151,1.643,45.715,-146.545,143.494
-0.449,2.404,1.968,7.019,-136.658,41.748
-0.637,2.302,2.849,-21.729,-132.080,-20.508
-0.681,1.989,3.188,-56.213,-63.293,-125.916
-0.812,1.562,3.177,-58.167,-4.395,-151.978
-0.838,1.442,2.992,-60.486,97.778,-197.205
-0.747,0.789,2.226,-45.166,141.968,-223.633
-0.670,0.544,1.754,-19.592,193.237,-231.567
-0.546,0.478,1.429,-35.950,195.068,-224.731
-0.485,0.227,1.390,-59.509,200.134,-227.356
-0.379,-0.372,0.821,-54.749,244.141,-221.741
-0.365,-0.267,0.595,-41.382,259.644,-194.031
-0.397,0.105,0.666,-108.154,249.939,-155.945
-0.395,-0.178,0.454,-135.437,269.836,-195.496
-0.154,-0.678,-0.353,-109.985,263.855,-184.570
-0.006,-0.478,-0.410,-100.281,226.929,-145.142
0.172,-0.151,0.008,-75.989,138.611,-91.980
0.173,-0.210,-0.002,-35.950,133.545,-90.881
0.148,-0.228,-0.411,53.894,147.644,-79.346
0.185,-0.091,-0.486,57.373,126.221,-62.744
0.204,0.118,-0.290,16.235,49.072,-41.199
0.200,0.126,-0.214,24.658,23.560,-36.072
0.188,0.155,-0.231,65.186,7.141,-13.916
0.160,0.374,-0.402,69.824,0.732,-4.028
0.128,0.459,-0.514,47.791,-23.437,-8.789
0.103,0.479,-0.719,35.706,-43.701,-16.846
0.086,0.464,-0.837,20.874,-96.680,-20.813
-0.022,0.538,-0.824,16.235,-135.071,-15.381
-0.103,0.588,-0.618,-12.878,-206.848,-18.372
-0.177,0.572,-0.233,-16.418,-222.656,-31.372
-0.122,0.477,-0.135,14.343,-219.299,-64.026
-0.089,0.023,-0.265,35.339,-211.121,-78.247
-0.146,-0.148,-0.395,61.035,-239.746,-66.223
-0.306,-0.119,-0.374,59.631,-276.306,-46.509
-0.442,-0.070,-0.060,62.317,-356.873,-15.137
-0.626,0.110,1.456,73.181,-385.925,-3.113
-0.601,0.231,2.157,75.562,-334.351,-5.554
-0.427,0.082,1.929,62.073,-259.827,-22.888
-0.399,-0.128,1.458,36.316,-205.017,-40.466
-0.399,-0.185,1.918,34.058,-233.093,-31.860
-0.337,-0.077,2.542,68.726,-218.994,-17.029
-0.195,0.082,2.729,92.834,-161.011,-15.198
-0.176,0.146,2.385,71.594,-76.233,-17.517
-0.171,-0.005,2.241,41.748,-73.242,-23.560
-0.162,-0.030,2.352,43.030,-52.734,-18.372
-0.069,0.042,2.185,55.786,-29.724,-17.212
-0.032,-0.007,2.102,33.447,-7.446,-20.752
-0.070,0.102,2.226,15.442,-1.587,-17.700
-0.103,0.150,2.302,-0.305,29.785,-23.865
-0.100,0.024,2.080,6.714,54.687,-29.114
-0.065,-0.049,1.845,24.475,86.731,-27.527
0.034,-0.098,1.494,27.283,90.271,-23.254
